Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
JaJuan Johnson,PF,22,36,0,298,54,121,.446,0,0,,54,121,.446,.446,6,9,.667,20,38,58,6,5,14,14,25,114
James Johnson,SF,24,62,40,1561,233,518,.450,19,60,.317,214,458,.467,.468,81,115,.704,74,218,292,122,71,84,101,177,566
Joe Johnson,SG,30,60,60,2127,423,931,.454,125,322,.388,298,609,.489,.521,158,186,.849,53,168,221,232,48,13,116,75,1129
Trey Johnson,SG,27,11,0,61,8,14,.571,0,0,,8,14,.571,.571,5,5,1.000,3,9,12,4,1,0,5,10,21
Wesley Johnson,SF,24,65,64,1469,158,397,.398,53,169,.314,105,228,.461,.465,24,34,.706,24,153,177,59,35,48,60,115,393
Dahntay Jones,SF,31,65,3,1052,115,281,.409,33,77,.429,82,204,.402,.468,83,99,.838,23,94,117,63,23,11,46,119,346
Dominique Jones,SG,23,33,1,268,29,73,.397,1,8,.125,28,65,.431,.404,29,37,.784,9,35,44,42,10,5,28,28,88
James Jones,SG,31,51,10,666,57,150,.380,46,114,.404,11,36,.306,.533,25,30,.833,6,43,49,19,17,9,10,45,185
Solomon Jones,C-PF,27,21,1,292,24,61,.393,0,0,,24,61,.393,.393,19,23,.826,32,26,58,9,9,11,18,43,67
DeAndre Jordan,C,23,66,66,1798,206,326,.632,0,1,.000,206,325,.634,.632,74,141,.525,202,344,546,17,30,134,74,189,486
Jerome Jordan,C,25,21,0,108,17,33,.515,0,0,,17,33,.515,.515,8,10,.800,14,13,27,4,1,6,2,15,42
Cory Joseph,PG,20,29,1,266,22,70,.314,3,15,.200,19,55,.345,.336,11,17,.647,5,20,25,34,7,3,12,16,58
Chris Kaman,C,29,47,33,1372,266,597,.446,0,0,,266,597,.446,.446,84,107,.785,89,275,364,101,25,77,129,106,616
Enes Kanter,C,19,66,0,874,117,236,.496,0,1,.000,117,235,.498,.496,70,105,.667,107,171,278,8,18,23,54,87,304
Jason Kapono,SG,30,27,0,269,21,55,.382,8,27,.296,13,28,.464,.455,4,4,1.000,2,12,14,11,3,0,6,21,54
D.J. Kennedy,SF,22,2,0,59,5,12,.417,2,4,.500,3,8,.375,.500,0,2,.000,1,6,7,3,2,0,3,7,12
Jason Kidd,PG,38,48,48,1379,99,273,.363,79,223,.354,20,50,.400,.507,22,28,.786,15,183,198,264,82,10,91,83,299
Linas Kleiza,SF,27,49,3,1057,165,410,.402,62,179,.346,103,231,.446,.478,81,100,.810,42,157,199,46,23,4,64,119,473
Brandon Knight,PG,20,66,60,2129,319,769,.415,105,276,.380,214,493,.434,.483,104,137,.759,33,178,211,251,49,10,171,154,847
Kyle Korver,SG,30,65,7,1469,178,412,.432,118,271,.435,60,141,.426,.575,55,66,.833,26,133,159,112,36,15,53,110,529
Kosta Koufos,C,22,48,24,792,115,192,.599,0,0,,115,192,.599,.599,33,55,.600,95,163,258,15,24,41,33,96,263
Carl Landry,PF,28,41,8,999,182,362,.503,0,3,.000,182,359,.507,.503,147,184,.799,78,136,214,38,13,12,64,89,511
Ty Lawson,PG,24,61,61,2124,374,767,.488,73,200,.365,301,567,.531,.535,178,216,.824,54,173,227,401,82,6,149,94,999
Courtney Lee,SG,26,58,26,1757,251,580,.433,87,217,.401,164,363,.452,.508,71,86,.826,26,133,159,88,68,22,64,106,660
